Suositeltu yleiskielinen nimi
kivikkosiimahäntä
rantasiimahäntä
sokeritoukka
uunitoukka
paanutoukka
paperitoukka
immenkorento
neidonkorento
isokeijukorento
sirokeijukorento
hentokeijukorento
idänkirsikorento
lännenkirsikorento
vihertytönkorento
keihästytönkorento
taigatytönkorento
kuutytönkorento
eteläntytönkorento
sirotytönkorento
isotytönkorento
kääpiötytönkorento
punatytönkorento
okatytönkorento
hoikkatytönkorento
keritytönkorento
sulkakoipikorento
karvaukonkorento
pohjanukonkorento
isoukonkorento
kirjoukonkorento
ruskoukonkorento
siniukonkorento
rannikkoukonkorento
suoukonkorento
viherukonkorento
etelänukonkorento
hohtoukonkorento
keisarikorento
sormusukonkorento
kulku-ukonkorento
aitojokikorento
idänjokikorento
pihtijokikorento
kirjojokikorento
purokorento
vaskikorento
liitokorento
aapakiiltokorento
hoikkakiiltokorento
täpläkiiltokorento
välkekorento
tundrakiiltokorento
litteähukankorento
sorjahukankorento
ruskohukankorento
merisinikorento
hoikkasinikorento
tummasyyskorento
elokorento
verikorento
lännensyyskorento
punasyyskorento
vyösyyskorento
kulkusyyskorento
sirolampikorento
lummelampikorento
pikkulampikorento
täplälampikorento
isolampikorento
kampasurviainen
isolapinsurviainen
pienilapinsurviainen
järvisurviainen


pohjansurviainen
outasurviainen
köngässurviainen
kirjovyösurviainen
outosurviainen
kanadansurviainen
järvisukeltajasurviainen
puolansukeltajasurviainen
saanansurviainen


sirppisurviainen
mutisurviainen
tummasukeltajasurviainen
piikikässurviainen
petosurviainen
hentosurviainen





siiviläsurviainen
pikkulaakasurviainen
pohjanlaakasurviainen
vantaansurviainen
keltalaakasurviainen
järvilaakasurviainen
siperiansurviainen
tummanyhäsurviainen
vaaleanyhäsurviainen
kevätsurviainen
lampisurviainen


isopurosurviainen
pohjanpurosurviainen
tanskansurviainen
kymisurviainen
isosurviainen
keltasurviainen
raitasukassurviainen
okasurviainen
pyörökidussurviainen
jokisurviainen
pikkusurviainen
yöpikkusurviainen
lovipikkusurviainen
kääpiösurviainen
etelänpikkusurviainen
isopihtihäntä
pensaspihtihäntä
pikkupihtihäntä
hankikorri
vantaankorri
rantusiipikorri
hallakorri
routakorri
suvihoikkakorri
purohoikkakorri
kirsikorri



jokinuhrukorri
lapinnuhrukorri
puronuhrukorri
nuhrukorri
idänpurokorri
purokorri
kalotinkoipikorri
keväänkoipikorri
jokapaikankorri
etelänkoipikorri
metsänkoipikorri
lapinkoipikorri
ruijankoipikorri
lähdekorri
jaurikorri
täpläkirjokorri

pohjankorri
vähäkirjokorri


jymykorri
ruskokalvaskorri
raitakalvaskorri
keltakorri
kaislahepokatti
lehtohepokatti
idänhepokatti
niittyhepokatti
kanervatöpökatti
heinätöpökatti
paahdehepokatti
pensashepokatti
sirppihepokatti
kotisirkka
ansarisirkka
rantaokasirkka
lapinokasirkka
lännenokasirkka
nummiokasirkka
sarviokasirkka
kangassirkka
lapinsirkka
idänkulkusirkka
palosirkka
sinisiipisirkka
ruususiipisirkka
suosirkka
kolkkaheinäsirkka
kultaheinäsirkka
niittyheinäsirkka
tummaheinäsirkka
ketoheinäsirkka
ahoheinäsirkka
rantaheinäsirkka
nuijaheinäsirkka
keroheinäsirkka
nurmiheinäsirkka
nevaheinäsirkka
Greenhouse cockroach (en)
lapintorakka
metsätorakka
russakka
ranskantorakka
amerikantorakka
australiantorakka
ruotsintorakka






lily bulb thrips (en)














mäntylahotorviainen
























traakkipuuripsiäinen
ansariripsiäinen
mustareisiripsiäinen







amerikanripsiäinen
begonia thrips (en)
kalifornianripsiäinen





palmuripsiäinen



























































































orapaatsamakemppi

















alppiruusukemppi









































paahdekemppi



















matarakemppi
tammikemppi
saaristokemppi




ansarijauhiainen
etelänjauhiainen

















isohavukirva













orchid aphid (en)



















































































hietikkosarakirva













































kurkkukirva



masmalokirva















































apple-grass aphid (en)
maissikirva


red rice root aphid (en)






























tulip aphid (en)






keulankärkikirva














nurmikohokkikirva
























green chrysanthemum aphid (en)































persikkakirva
sipulikirva
orvokkikirva












iris aphid (en)














































koisokirva





kasvihuonekirva
keltainen ruusukirva













ansarikirva













chrysanthemum aphid (en)




















































































orange scale (en)
greedy scale (en)
citrus mussel scale (en)


saniaiskilpikkä








parsakilpikkä
oliivikilpikkä
oranssikilpikkä














villakilpikkä


















hakalasikaskas


steppilasikaskas





lettoviirukas


dyyniviirukas









seeprakirpukas
kangaskirpukas

arokirpukas

soraikkokirpukas



















merenrantakirpukas


hietikkonatakaskas

siniheinäkirpukas
mesiheinäkirpukas
lehdesniittykirpukas




kenttäkirpukas

korpikirpukas
hiekkakirpukas
kiiltokirpukas



















tuoksuheinäkirpukas



tumma-aarnikaskas
pohjanaarnikaskas


lilac planthopper (en)




käenminttutinkeli






piennartinkeli






















lounaistinkeli








merkkitinkeli




puistotinkeli






lehtotinkeli


kirjotinkeli



















röllikeijukas

angervotäpläkeijukas
tähkäkeijukas




















harjunaamiokas

















nokkosnaamiokas
marunanaamiokas
palonaamiokas

lännenpehkupää
idänpehkupää



























katkovyökaskas







ruskokaunokas
luhtakaunokas









vesiponsikas















suolarantaponsikas





pikkuhorsmaponsikas



paahdeporaponsikas



















viitasaraponsikas













siperianlatvaponsikas
alppilatvaponsikas
jalolatvaponsikas













kuljuponsikas
suppaponsikas


paahdeponsikas
peltoponsikas

ulappaponsikas








meriluikkaponsikas


särkkäponsikas






hiekkaponsikas

ketoponsikas


nataponsikas

porolaidunponsikas



rantavehnäponsikas


lusteponsikas


siperianponsikas

pohjantupasponsikas



karjalanponsikas
hietaponsikas





vuoriponsikas







tupasvillaponsikas





vuorilaulukaskas


halavansylkikaskas






sylkikaskas


karikelutiainen
sammallutiainen
liekolutiainen
tummarahkiainen
ruskorahkiainen
vesiskorpioni
sauvalude
himmeäkääpiömalluainen
kiiltokääpiömalluainen
vyökääpiömalluainen
kirjoallikkomalluainen
kipruallikkomalluainen
karvaotsamalluainen
pohjankarvaotsamalluainen
kaariharjamalluainen
mutkaharjamalluainen
kapustaläiskämalluainen
tupsuläiskämalluainen
näkinläiskämalluainen
loviahdinmalluainen

lampiahdinmalluainen
tummaraitamalluainen
lammikkoraitamalluainen
moniraitamalluainen
etelänmalluainen
lusikkapikkumalluainen
leveäkämmenpikkumalluainen
pohjanpikkumalluainen
ruutananpikkumalluainen
pitkäkämmenpikkumalluainen
sirppipikkumalluainen
puropikkumalluainen
ojapikkumalluainen
moniraitapikkumalluainen
pariraitapikkumalluainen
hilepikkumalluainen
virtalude
tassilude
laikkumalluainen
keltamalluainen
nokkamalluainen
vellamoinen
kelliäinen
rantapunkkiainen
rahkapunkkiainen
vesihiippari
ehytvyövetiäinen
katkovyövetiäinen
etelänluisturi
luisturi
virtavesimittari
järvivesimittari
hopeavesimittari
juovavesimittari
kyhmyvesimittari
rahkavesimittari
saaristovesimittari
peilivesimittari
ruskovesimittari
jatulinlude
nukkapoukkolude
pörröpoukkolude
suolakkolude
tyllilude
rantakirppulude
ruoppakirppulude
hietahyppylude
hanhenhyppylude
juovahyppylude
kenttähyppylude
sipinhyppylude
punkahyppylude
hartohyppylude
kosteikkohyppylude

rantajuoksulude
kiiltojuoksulude
tummajuoksulude
rimpijuoksulude
mellalaikkulude
liekolaikkulude
rosoailakkilude
siloailakkilude
karvahorsmalude
roopelude
sormustinkukkalude

pähkämölude

alppiruusulude
hiirenporraslude
saniaislude
ehtoolude
kartiolude
petäjäkesakkolude
hartokesakkolude


rämesiimalude
keltasiimalude
kärsämösiimalude
muurahaislude
pohjanmantulude
luhtamantulude

kattaralude
rytilude
nurmitähkälude
paahdetähkälude
jäärälude
kaakonahdelude
aitoahdelude
pikkuheinälude
kastikkaheinälude
konkkaheinälude
okaheinälude
sahaheinälude
sarpaluhtalude
saraikkoluhtalude
punasarviluhtalude
viherluhtalude
pohjanluhtalude
halmekeilapää
ruskosarvikeilapää
ketokeilapää
kaapulude
kirjomarmorilude
himmeämarmorilude
verkasmarmorilude
mäntymarmorilude
haapamarmorilude
sysimarmorilude
syysmarmorilude
nummimarmorilude
ruskomarmorilude
lehmuslude
viiruviittalude
nokkosviittalude
apilaviittalude

tarhakauluslude
mykerökauluslude
kirjokauluslude
rämekauluslude
viherkauluslude
lehtokauluslude
tammikauluslude
keikarilude
piennarlude

pikkuhäivelude
pihtahäivelude
häivelude
tarhaherttalude
kurttulude
koivuherttalude
puistoherttalude
pajuherttalude
pujoherttalude
paatsamaherttalude
angervoherttalude
marunalude
ketolude
puolukkalude
peltolude
nuolilude
koiranputkiainen
kuultoputkiainen
ukonputkiainen
niinikuulaslude
kuusenkuulaslude
tumpuralude
nokkoslude
sätkiäislude
mustamataralude
rannikkomataralude
hietikkomataralude
paimenmataralude
luhtamataralude
ahomataralude
keltamataralude
piennarmataralude
poikkolude
ketomustiainen

kastikkamustiainen
ketovirnalude
ahovirnalude
ketokorppilude
luhtakorppilude
pohjankorppilude
siljolude
kellokimolude
keltanokimolude
juovakimolude
iltahohtolude
toukohohtolude
tappisilmälude
nuijalude
tirrilude

pohjankaitalude
leppäkaitalude
