Suositeltu yleiskielinen nimi
ryväspiilojäkälä
höynäpiilojäkälä
sädepiilojäkälä
taigapiilojäkälä
härmäpiilojäkälä
punapiilojäkälä

hajapiilojäkälä
lepänpiilojäkälä
katajanpiilojäkälä

käyräpiilojäkälä

kalliopiilojäkälä
rantanahkapiilokka
myhkypiilokka
jyrkännepiilojäkälä
revonpiilojäkälä
raidanpiilojäkälä

seinäpiilojäkälä


munuaispiilokka
haavanpiilojäkälä
nahkajäkälänpiilokka
kustpricklav (sv)

pihlajanpiilojäkälä
ruusupiilojäkälä

pikkupiilojäkälä
kehräjäkälänpiilokka
lahopiilojäkälä
kuusenhäivelö

ruskopiilojäkälä
jalopiilojäkälä
pistepiilojäkälä
vägglavsklotter (sv)
suklio
sinirikkijäkälä
tammenrikkijäkälä
varjorikkijäkälä
kuukirppujäkälä
pilkkukirppujäkälä
laikkujäkälä
raidankeuhkoneppi
tunturikeuhkoneppi
munuaisneppi
nahkaneppi
pikkuhärmäjäkälä

kalkkikirppujäkälä
kehräjäkälänkirppunen
lehtokirppujäkälä
sipperlavsklotter (sv)
kalkkikirppunen
aarnikirppujäkälä
ruotsinkirppujäkälä
nypykkäkirppujäkälä
kuusenkirppujäkälä
vyöhykejäkälä
siimeskirppujäkälä
kuusenhärmäjäkälä
kantlavsklotter (sv)
ruskokirppujäkälä
kalliohärmäjäkälä
salojäkälä
liitujäkälä
allémosslav (sv)
kissantassujäkälä
lahoneulajäkälä
keloneulajäkälä
viherneulajäkälä
keltaneulajäkälä
harmaaneulajäkälä
ruosteneulajäkälä
varjoneulajäkälä
varjojäkälä
hentoneulajäkälä
nuijaneulajäkälä
aarnineulajäkälä
siloneulajäkälä
ruskoneulajäkälä
sauvaneulajäkälä
jauheneulajäkälä
kuusenneulajäkälä
suomuneulajäkälä
hoikkaneulajäkälä
härmähuhmarjäkälä
jauhehuhmarjäkälä
kalvashuhmarjäkälä
koivunhuhmarjäkälä




lankajäkälä
perunan cercospora-lehtilaikku

pansarsvamp (sv)



























































silverfläck (sv)
















ramularia-laikku

















ruskeisenpinsikkä



kuppijäkälänpinsikkä


punavyökariste

rihmajäkälä


koivunpisteikäs

tuomenpisteikäs
härmäpisteikäs



pajunpistejäkälä
pohjanpisteikäs



jättipisteikäs


ruskolaikku
nässelgömming (sv)







flaskgömming (sv)






































































harmaahilse








ohran tyvi- ja lehtilaikku
kauran lehtilaikku
ohranviirutauti
ohranverkkolaikku
pistelaikku



















































brun tuvgömming (sv)
tuvgömming (sv)














































krutgömming (sv)








koivunoksakka













enlurv (sv)
























vaivaiskoivunpiki
linnealudd (sv)
lingonludd (sv)























omenarupi





poppelskorv (sv)
päronskorv (sv)


pilskorv (sv)






almbladsskorpa (sv)






kiirunanjäkälä
nahkajäkälänkiirukka





porkkanan mustamätä















keltaröyhelöntossukka





nokkoslätikkä
heinälätikkä







kalliohytyjäkälä




strimdyna (sv)












katajantäpläkkä
reffelsprickling (sv)




asksprickling (sv)















musselsprickling (sv)












tunturihuppujäkälä
isohuppujäkälä







kivenpilkku




nahkajäkälänlättänä


































haavansauvajäkälä
tuohensauvakas

etelänpisteikäs
pihlajanpisteikäs
lepänpistejäkälä























äppelprick (sv)



anilingömming (sv)











































lehtomaahikas
mäntymaahikas
pippurimaahikas
nystymaahikas
kirsumaahikas
jyväsmaahikas
mustamaahikas
aidaspampukka
suomenpampukka
laikkapampukka

lorvineula
liekoneula
koturineula
keloneula
hurmeneula
kortskaftad svartspik (sv)

pihkaneula
pikkuneula
mörk svartspik (sv)
torvijäkälänneula
hentoneula
svartspik (sv)
rubiinineula
vedsvartspik (sv)
jyrkänneneula
blågrön svartspik (sv)
kuusenneula
punaneula
småspik (sv)
koivunsojokka
norrlandskvistspik (sv)
pohjansojokka
haavansojokka
isosojokka
suomensojokka
alspik (sv)
sorkkasieni

sulkasieni


äimäjäkälä
lännenpistejäkälä
kalkkipistejäkälä
saarnenpistejäkälä
pikkupistejäkälä
pallotohvelijäkälä
tulvatohvelijäkälä
tyvitohvelijäkälä
pähkinänpisteikäs
nännikonnanjäkälä
kalvokonnanjäkälä
pisarakonnanjäkälä
tulvakonnanjäkälä
suomukonnanjäkälä
paahdekonnanjäkälä
isovellamonjäkälä
oulanganvellamonjäkälä
kuruvellamonjäkälä
tundravellamonjäkälä
orvonvellamonjäkälä
maavellamonjäkälä
pullokansijäkälä
kalkkikansijäkälä
viherkansijäkälä
kalvaskansijäkälä
harmaakilpinen
sirokilpinen
rosokilpinen
valukilpijäkälä
härmäkilpijäkälä
ruutukilpijäkälä
purokilpijäkälä
kääpiökilpijäkälä
kalliokilpijäkälä
tyrskykilpijäkälä
verkkokilpijäkälä
hapsipullokas
limipullokas
kalkkikonnakas
pikkukonnakas
pikkukaarijäkälä
isokaarijäkälä
merimustuainen
pilkkumustuainen
sirontajäkälä






lehtopikkupisteikäs




ryynisimpukkajäkälä
suomusimpukkajäkälä



alvarijäkälä
pohjankilpinen

tunturikilpinen
ruskokilpinen
maksakilpinen
pärskeruudukas
kiventieranruudukas
kalkkiruudukas
uppokonnanjäkälä
sammalkonnanjäkälä
valkokonnanjäkälä
pahtakonnanjäkälä
tuonenkonnanjäkälä
mossmursporing (sv)
saaristokonnanjäkälä
mäkikonnanjäkälä
ruskokonnanjäkälä
kypäräkonnanjäkälä
taigakonnanjäkälä
pohjankonnanjäkälä
jyrkännekonnanjäkälä
pikkukonnanjäkälä
pohjolankonnanjäkälä
lapinkonnanjäkälä
virtakonnanjäkälä
kääpiökonnanjäkälä

liuskekonnanjäkälä
tunturikonnanjäkälä
piilokonnanjäkälä
pistekonnanjäkälä
koivunkalvakkajäkälä
talikalvakkajäkälä
käävänkalvakkajäkälä
puroverkkojäkälä
pikkuverkkojäkälä
rantaverkkojäkälä
lapinverkkojäkälä
nystyraspijäkälä
tunturiraspijäkälä
rantaraspijäkälä
siroraspijäkälä
kalkkiraspijäkälä
kätköraspijäkälä
sormiraspijäkälä
piiloraspijäkälä
rotkoraspijäkälä

sirosäröjäkälä
hattusäröjäkälä
alppisäröjäkälä
kalkkisäröjäkälä
tunturisäröjäkälä
vaaleasäröjäkälä
murikkasäröjäkälä
piilosäröjäkälä
kuusamonsäröjäkälä
oulangansäröjäkälä
rantasäröjäkälä
pistesäröjäkälä
pikkusäröjäkälä
tiilisäröjäkälä
savonsäröjäkälä
ruskosäröjäkälä
isosäröjäkälä
pallerosäröjäkälä
jauhesäröjäkälä
purosäröjäkälä
maasäröjäkälä
lampimustuainen
teuvonmustuainen


muhkumustuainen
virtamustuainen


runkomustuainen
viherryynimustuainen
harmaamustuainen
pilarimustuainen
palomustuainen
pampulamustuainen

rosomustuainen

tsekinmustuainen
hentomustuainen
tanskanmustuainen
lapinmustuainen
hattumustuainen

hajamustuainen
vihermustuainen
varjomustuainen
kilpimustuainen
karstamustuainen
kartiomustuainen
pullomustuainen
reunamustuainen
