Suositeltu yleiskielinen nimi
lapinkarstasammal
pohjankarstasammal
tunturikarstasammal
suonikarstasammal
lumikarstasammal
etelänkarstasammal
kalliokarstasammal
nuppihuopasammal
suonihuopasammal
tunturihuopasammal
pahtaomenasammal
kiilto-omenasammal
kallio-omenasammal
särmäsammal
ojalähdesammal
kalkkilähdesammal
pikkulähdesammal
purolähdesammal
särmälähdesammal
kalliolähdesammal
nipponinlähdesammal
pallosammal

kuirikurusammal
itukurusammal
hopeahiirensammal
kirjohiirensammal
kuparihiirensammal
lusikkahiirensammal
kielihiirensammal
sinipunahiirensammal
tammihiirensammal
tupashiirensammal
hentohiirensammal
valumahiirensammal
rusonystyhiirensammal
lapinhiirensammal
karvahiirensammal
kosteikkohiirensammal
heilurihiirensammal

sorahiirensammal
verihiirensammal
luhtahiirensammal
pahtaseitasammal
sirohiirensammal
savikkohiirensammal
nuokkuhiirensammal
karttuhiirensammal
seitahiirensammal
järvihiirensammal
pitkäperähiirensammal
rihmahiirensammal
rusohiirensammal
kalvashiirensammal
lettohiirensammal


purppurahiirensammal
merihiirensammal
valjuhiirensammal
päärynähiirensammal
hetehiirensammal
napahiirensammal
lapinseitasammal
kalkkiruusukesammal
lehtoruusukesammal
lettokilpisammal
luhtakilpisammal
kurulehväsammal
tunturilehväsammal
nuokkukiisusammal
kuparikiisusammal
paljakkalehväsammal
soukkalehväsammal
purolehväsammal
kaihelehväsammal
otalehväsammal
sinilehväsammal
kalkkilehväsammal
lehtolehväsammal
pohjanlehväsammal
metsälehväsammal
idänlehväsammal
tihkulehväsammal
korpilehväsammal
isolehväsammal
nokkalehväsammal
poimulehväsammal
nuppuvarstasammal
paljakkavarstasammal
jyväsvarstasammal
kääpiövarstasammal
silmuvarstasammal
ituvarstasammal
hohtovarstasammal
pahtavarstasammal
pohjanvarstasammal
pitkävarstasammal



lumivarstasammal
vuorivarstasammal
pikkuvarstasammal
isovarstasammal
tunturivarstasammal
rusovarstasammal
nuokkuvarstasammal
lapinvarstasammal
törmävarstasammal
rahkavarstasammal
hetevarstasammal


kiiltolehväsammal
napalehväsammal
hentolehväsammal
lähdelehväsammal
lettolehväsammal
kilpilehväsammal
kiviharmosammal

tähtiharmosammal

lehtoritvasammal
suippuväkäsammal
rantaväkäsammal
ruskopalmikkosammal
pohjanväkäsammal
lehtoväkäsammal
lettoväkäsammal
kalkkiharasammal
kantoharasammal
pohjanharasammal
puroharasammal
sirkansammal
sirohuurresammal
kalkkipalmikkosammal
luhtasirppisammal
pohjanjalosammal
hiussirppisammal
kalkkijalosammal
väkäsirppisammal
kalkkisirppisammal
upossirppisammal
matosammal
lännenjalosammal
koskisammakonsammal
luhtasammakonsammal
suippusammakonsammal
notkosammakonsammal
kalkkipurosammal
saukonsammal
kalkkihuurresammal
pohjanhuurresammal
sirppihuurresammal
pohjanpurosammal
tunturipurosammal
rusopurosammal
rosopurosammal
lapinpurosammal
pikkupurosammal
kilpipurosammal
siroritvasammal
notkoritvasammal
kultasammal
pikkuruostesammal
etelänruostesammal
isoruostesammal
norkkusammal
naalinsuikerosammal
pahtasuikerosammal
sirosuikerosammal
ahosuikerosammal
hakasuikerosammal
vuorisuikerosammal
ryppysuikerosammal
kalkkisuikerosammal
nurmisuikerosammal

purosuikerosammal
lehtosuikerosammal
kiiltosuikerosammal
poronsuikerosammal
etelänsuikerosammal
kultasuikerosammal
ahmansuikerosammal
lehtohaivensammal
pikkunokkasammal
lehtonokkasammal
isonokkasammal
silkkikutrisammal
kivikutrisammal
sulkanokkasammal
rikkanokkasammal
tursonsammal
lammassammal
hietarensusammal
kalkkirensusammal
ahdinsammal
metsäsuikerosammal
kerosuikerosammal
tunturisuikerosammal
sopulinsuikerosammal
rantasuikerosammal
haapasuikerosammal
koukkusuikerosammal
kantosuikerosammal
kiirunansuikerosammal
purokatvesammal
etelänkatvesammal
luhtakuirisammal
hetekuirisammal
järvikuirisammal
lettokuirisammal
kultasirppisammal
hetesirppisammal
punasirppisammal
aapasirppisammal
lampisirppisammal
pohjansirppisammal
kalvaskuirisammal
nevasirppisammal
tylppäsirppisammal
palmusammal
hiuskoukkusammal
koskikoukkusammal
isonäkinsammal


virtanäkinsammal
suvantonäkinsammal
järvinäkinsammal
kiiltonäkinsammal
mäyränsammal
metsäliekosammal
pohjankerrossammal
korpikerrossammal
metsäkerrossammal
seinäsammal
lännenliekosammal
niittyliekosammal
korpiliekosammal
nuorapalmikkosammal
kalliopalmikkosammal
pikkupalmikkosammal
rotanhäntäsammal
hiirenhäntäsammal
viitasammal
oravisammal


tulvasammal
höyhensammal
koloriippusammal
siloriippusammal
isoriippusammal
viuhkasammal
ryppyriippusammal
haapariippusammal
lännenriippusammal
taljaruostesammal
luutasammal
kantohohtosammal
loukkohohtosammal
korpihohtosammal
pohjankiiltosammal
pikkukiiltosammal
kultapahtasammal
pikkupahtasammal
lapinpahtasammal
rusopahtasammal
silopahtasammal
limisiimasammal
otasiimasammal
kourulaakasammal
kaarilaakasammal
kivilaakasammal

lehtolaakasammal
töppölaakasammal
kantolaakasammal
lepikkolaakasammal
etelänlaakasammal
karvalaakasammal
purolaakasammal
harsulaakasammal
poimulaakasammal
kolokiiltosammal
lukinsammal
kivikoukerosammal
raspikoukerosammal
tunturikoukerosammal
pohjankoukerosammal
kalliokoukerosammal
vemmelvaskisammal
pohjanvaskisammal
idänvaskisammal
kalliovaskisammal
nuorasammal


tundrapalmikkosammal
pahtapalmikkosammal
otaluhtasammal
sirppiluhtasammal
lenkosammal
sulkasammal
kujasammal
tunturipalmikkosammal
näädänsammal
poimusammal
lettosirppisammal
rimpisirppisammal
lettolierosammal
lapinsirppisammal
kiiltosirppisammal
rantakamppisammal
metsäkamppisammal
tunturikamppisammal
koukkupurosammal
vuoripalmikkosammal
pohjanpalmikkosammal
vuomapalmikkosammal
lehtopalmikkosammal
taigapalmikkosammal
kimmelsammal
ketohavusammal
kampasammal
sirohavusammal
etelänhavusammal
niittyhavusammal
lehtohavusammal
puistohiippasammal
sirohiippasammal
kimppuhiippasammal
rotkohiippasammal
lokinhiippasammal
kalliohiippasammal
tikanhiippasammal
silohiippasammal
aarnihiippasammal
haapahiippasammal
pahtahiippasammal
kalkkihiippasammal
etelänhiippasammal
tammihiippasammal
kalvashiippasammal
kertunhiippasammal
tunturihiippasammal
pikkuhiippasammal
kerihiippasammal
hakahiippasammal
paasihiippasammal
rannikkotakkusammal
isohiippasammal
pohjantakkusammal
uurretakkusammal
kalliotakkusammal
tammitakkusammal
haapatakkusammal
etelänuurresammal
kalliouurresammal
pikku-uurresammal
viheruurresammal
kenosammal
pohjannuijasammal
isonuijasammal
kairasammal
tihkunuijasammal
rassisammal
päärynäsammal
sopulinsammal
päärynäsompasammal
keltasompasammal
pohjansompasammal
punasompasammal
jouhisompasammal
pallosompasammal
paljakkamarrassammal
lettomarrassammal
lapinmarrassammal
haisumarrassammal
poronraatosammal
jänönraatosammal
tunturiraatosammal
naparaatosammal
kalliokaviosammal
lahokaviosammal
kuulasammal
mustapääsammal
tummauurnasammal
paakku-uurnasammal
pikkuvesikonsammal
piirtosammal
isovesikonsammal
rutakaulasammal
oikokaulasammal
tunturikaulasammal
taigakynsisammal
äimäkynsisammal
lettokynsisammal
kalkkikynsisammal
pohjankynsisammal
tunturikynsisammal
kerkkäkynsisammal
karhunkynsisammal
